"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"Less than 5 years","2003W42","Number","Total","Belgium","6",""
"Less than 5 years","2003W43","Number","Total","Belgium","9",""
"Less than 5 years","2003W44","Number","Total","Belgium","12",""
"Less than 5 years","2003W45","Number","Total","Belgium","12",""
"Less than 5 years","2003W46","Number","Total","Belgium","11",""
"Less than 5 years","2003W47","Number","Total","Belgium","12",""
"Less than 5 years","2003W48","Number","Total","Belgium","6",""
"Less than 5 years","2003W49","Number","Total","Belgium","8",""
"Less than 5 years","2003W50","Number","Total","Belgium","11",""
"Less than 5 years","2003W51","Number","Total","Belgium","21",""
"Less than 5 years","2003W52","Number","Total","Belgium","17",""
"Less than 5 years","2003W99","Number","Total","Belgium",":",""
"Less than 5 years","2004W01","Number","Total","Belgium","6",""
"Less than 5 years","2004W02","Number","Total","Belgium","15",""
"Less than 5 years","2004W03","Number","Total","Belgium","8",""
"Less than 5 years","2004W04","Number","Total","Belgium","15",""
"Less than 5 years","2004W05","Number","Total","Belgium","9",""
"Less than 5 years","2004W06","Number","Total","Belgium","9",""
"Less than 5 years","2004W07","Number","Total","Belgium","15",""
"Less than 5 years","2004W08","Number","Total","Belgium","9",""
"Less than 5 years","2004W09","Number","Total","Belgium","10",""
"Less than 5 years","2004W10","Number","Total","Belgium","8",""
"Less than 5 years","2004W11","Number","Total","Belgium","8",""
"Less than 5 years","2004W12","Number","Total","Belgium","14",""
"Less than 5 years","2004W13","Number","Total","Belgium","7",""
"Less than 5 years","2004W14","Number","Total","Belgium","14",""
"Less than 5 years","2004W15","Number","Total","Belgium","10",""
"Less than 5 years","2004W16","Number","Total","Belgium","12",""
"Less than 5 years","2004W17","Number","Total","Belgium","8",""
"Less than 5 years","2004W18","Number","Total","Belgium","13",""
"Less than 5 years","2004W19","Number","Total","Belgium","7",""
"Less than 5 years","2004W20","Number","Total","Belgium","9",""
"Less than 5 years","2004W21","Number","Total","Belgium","7",""
"Less than 5 years","2004W22","Number","Total","Belgium","13",""
"Less than 5 years","2004W23","Number","Total","Belgium","15",""
"Less than 5 years","2004W24","Number","Total","Belgium","13",""
"Less than 5 years","2004W25","Number","Total","Belgium","7",""
"Less than 5 years","2004W26","Number","Total","Belgium","9",""
"Less than 5 years","2004W27","Number","Total","Belgium","12",""
"Less than 5 years","2004W28","Number","Total","Belgium","9",""
"Less than 5 years","2004W29","Number","Total","Belgium","9",""
"Less than 5 years","2004W30","Number","Total","Belgium","14",""
"Less than 5 years","2004W31","Number","Total","Belgium","6",""
"Less than 5 years","2004W32","Number","Total","Belgium","10",""
"Less than 5 years","2004W33","Number","Total","Belgium","7",""
"Less than 5 years","2004W34","Number","Total","Belgium","8",""
"Less than 5 years","2004W35","Number","Total","Belgium","8",""
"Less than 5 years","2004W36","Number","Total","Belgium","6",""
"Less than 5 years","2004W37","Number","Total","Belgium","7",""
"Less than 5 years","2004W38","Number","Total","Belgium","13",""
"Less than 5 years","2004W39","Number","Total","Belgium","10",""
"Less than 5 years","2004W40","Number","Total","Belgium","12",""
"Less than 5 years","2004W41","Number","Total","Belgium","9",""
"Less than 5 years","2004W42","Number","Total","Belgium","16",""
"Less than 5 years","2004W43","Number","Total","Belgium","11",""
"Less than 5 years","2004W44","Number","Total","Belgium","11",""
"Less than 5 years","2004W45","Number","Total","Belgium","12",""
"Less than 5 years","2004W46","Number","Total","Belgium","9",""
"Less than 5 years","2004W47","Number","Total","Belgium","6",""
"Less than 5 years","2004W48","Number","Total","Belgium","11",""
"Less than 5 years","2004W49","Number","Total","Belgium","12",""
"Less than 5 years","2004W50","Number","Total","Belgium","3",""
"Less than 5 years","2004W51","Number","Total","Belgium","15",""
"Less than 5 years","2004W52","Number","Total","Belgium","12",""
"Less than 5 years","2004W53","Number","Total","Belgium","12",""
"Less than 5 years","2004W99","Number","Total","Belgium",":",""
"Less than 5 years","2005W01","Number","Total","Belgium","5",""
"Less than 5 years","2005W02","Number","Total","Belgium","7",""
"Less than 5 years","2005W03","Number","Total","Belgium","11",""
"Less than 5 years","2005W04","Number","Total","Belgium","13",""
"Less than 5 years","2005W05","Number","Total","Belgium","11",""
"Less than 5 years","2005W06","Number","Total","Belgium","12",""
"Less than 5 years","2005W07","Number","Total","Belgium","12",""
"Less than 5 years","2005W08","Number","Total","Belgium","12",""
"Less than 5 years","2005W09","Number","Total","Belgium","9",""
"Less than 5 years","2005W10","Number","Total","Belgium","15",""
"Less than 5 years","2005W11","Number","Total","Belgium","10",""
"Less than 5 years","2005W12","Number","Total","Belgium","11",""
"Less than 5 years","2005W13","Number","Total","Belgium","12",""
"Less than 5 years","2005W14","Number","Total","Belgium","5",""
"Less than 5 years","2005W15","Number","Total","Belgium","4",""
"Less than 5 years","2005W16","Number","Total","Belgium","15",""
"Less than 5 years","2005W17","Number","Total","Belgium","10",""
"Less than 5 years","2005W18","Number","Total","Belgium","15",""
"Less than 5 years","2005W19","Number","Total","Belgium","10",""
"Less than 5 years","2005W20","Number","Total","Belgium","11",""
"Less than 5 years","2005W21","Number","Total","Belgium","9",""
"Less than 5 years","2005W22","Number","Total","Belgium","15",""
"Less than 5 years","2005W23","Number","Total","Belgium","10",""
"Less than 5 years","2005W24","Number","Total","Belgium","15",""
"Less than 5 years","2005W25","Number","Total","Belgium","12",""
"Less than 5 years","2005W26","Number","Total","Belgium","22",""
"Less than 5 years","2005W27","Number","Total","Belgium","11",""
"Less than 5 years","2005W28","Number","Total","Belgium","9",""
"Less than 5 years","2005W29","Number","Total","Belgium","11",""
"Less than 5 years","2005W30","Number","Total","Belgium","10",""
"Less than 5 years","2005W31","Number","Total","Belgium","10",""
"Less than 5 years","2005W32","Number","Total","Belgium","12",""
"Less than 5 years","2005W33","Number","Total","Belgium","6",""
"Less than 5 years","2005W34","Number","Total","Belgium","11",""
"Less than 5 years","2005W35","Number","Total","Belgium","8",""
"Less than 5 years","2005W36","Number","Total","Belgium","8",""
"Less than 5 years","2005W37","Number","Total","Belgium","6",""
"Less than 5 years","2005W38","Number","Total","Belgium","12",""
"Less than 5 years","2005W39","Number","Total","Belgium","11",""
"Less than 5 years","2005W40","Number","Total","Belgium","11",""
"Less than 5 years","2005W41","Number","Total","Belgium","15",""
"Less than 5 years","2005W42","Number","Total","Belgium","10",""
"Less than 5 years","2005W43","Number","Total","Belgium","12",""
"Less than 5 years","2005W44","Number","Total","Belgium","8",""
"Less than 5 years","2005W45","Number","Total","Belgium","8",""
"Less than 5 years","2005W46","Number","Total","Belgium","9",""
"Less than 5 years","2005W47","Number","Total","Belgium","10",""
"Less than 5 years","2005W48","Number","Total","Belgium","17",""
"Less than 5 years","2005W49","Number","Total","Belgium","9",""
"Less than 5 years","2005W50","Number","Total","Belgium","10",""
"Less than 5 years","2005W51","Number","Total","Belgium","12",""
"Less than 5 years","2005W52","Number","Total","Belgium","14",""
"Less than 5 years","2005W99","Number","Total","Belgium",":",""
"Less than 5 years","2006W01","Number","Total","Belgium","12",""
"Less than 5 years","2006W02","Number","Total","Belgium","12",""
"Less than 5 years","2006W03","Number","Total","Belgium","11",""
"Less than 5 years","2006W04","Number","Total","Belgium","11",""
"Less than 5 years","2006W05","Number","Total","Belgium","13",""
"Less than 5 years","2006W06","Number","Total","Belgium","23",""
"Less than 5 years","2006W07","Number","Total","Belgium","9",""
"Less than 5 years","2006W08","Number","Total","Belgium","6",""
"Less than 5 years","2006W09","Number","Total","Belgium","9",""
"Less than 5 years","2006W10","Number","Total","Belgium","7",""
"Less than 5 years","2006W11","Number","Total","Belgium","2",""
"Less than 5 years","2006W12","Number","Total","Belgium","8",""
"Less than 5 years","2006W13","Number","Total","Belgium","12",""
"Less than 5 years","2006W14","Number","Total","Belgium","5",""
"Less than 5 years","2006W15","Number","Total","Belgium","13",""
"Less than 5 years","2006W16","Number","Total","Belgium","15",""
"Less than 5 years","2006W17","Number","Total","Belgium","17",""
"Less than 5 years","2006W18","Number","Total","Belgium","15",""
"Less than 5 years","2006W19","Number","Total","Belgium","14",""
"Less than 5 years","2006W20","Number","Total","Belgium","14",""
